"t","x","y","z","a"
6.508312700E-2,1.180237234E-1,-5.000990629E-2,3.016996384E-1,3.278006434E-1
7.000416800E-2,-8.439153433E-3,-2.620199323E-2,1.524066925E-1,1.548727338E-1
7.493604300E-2,-8.568206429E-2,3.981056809E-2,9.145259857E-2,1.314909703E-1
7.988073100E-2,-1.229898185E-1,1.191821694E-1,3.583717346E-2,1.749719633E-1
8.483958500E-2,-1.097962111E-1,1.227898598E-1,-5.116176605E-2,1.724821265E-1
8.981338700E-2,-5.355298519E-2,6.898084283E-2,-1.370954514E-1,1.625467369E-1
9.480224100E-2,-1.487475634E-2,1.025468111E-2,-1.688928604E-1,1.698564546E-1
9.980567900E-2,-1.042658091E-2,3.193524480E-2,-1.093482971E-1,1.143924103E-1
1.048226580E-1,-2.040207386E-3,2.996081114E-2,-4.896163940E-2,5.743739882E-2
1.098516160E-1,1.259922981E-3,4.189133644E-2,-1.004981995E-2,4.309837997E-2
1.148905740E-1,4.552969337E-2,3.608882427E-3,-5.955886841E-2,7.505488536E-2
1.199372410E-1,1.335603893E-1,-5.083319545E-2,-7.494926453E-2,1.613684715E-1
1.249891160E-1,1.588254869E-1,-7.528975606E-2,-4.412078857E-2,1.812201055E-1
1.300435950E-1,2.022491992E-1,-1.125808209E-1,-1.016330719E-2,2.316947833E-1
1.350980740E-1,1.348232627E-1,-1.028969139E-1,-1.436424255E-2,1.702099248E-1
1.400908350E-1,5.707725883E-2,-7.104673982E-2,-4.601287842E-2,1.020913204E-1
1.450826580E-1,-3.823161125E-3,-4.984587431E-2,-6.270027161E-2,8.019072145E-2
1.500744810E-1,-5.846482515E-2,-2.499333024E-2,-5.578327179E-2,8.458472527E-2
1.550663040E-1,-6.576639414E-2,-3.784957528E-2,-1.685047150E-2,7.772867770E-2
1.600581270E-1,-2.716675401E-2,-7.338026166E-2,6.234264374E-2,1.000464920E-1
1.650499490E-1,2.384734154E-2,-7.088267803E-2,1.574935913E-1,1.743481604E-1
1.700417720E-1,9.641003609E-2,-7.337853312E-2,1.802482605E-1,2.171836541E-1
1.750335950E-1,1.529426277E-1,-8.066651225E-2,1.839284897E-1,2.524444946E-1
1.800254180E-1,1.384656727E-1,-5.990394950E-2,1.969547272E-1,2.480975418E-1
1.850172410E-1,9.696179628E-2,-1.202493906E-2,1.586494446E-1,1.863218596E-1
1.900090640E-1,5.713519454E-2,-1.199147105E-2,9.830188751E-2,1.143306036E-1
1.950008870E-1,4.639235139E-2,-2.117627859E-2,5.832862854E-2,7.747847411E-2
1.999927100E-1,2.635258436E-2,-1.605051756E-2,3.346538544E-2,4.551933478E-2
2.049845330E-1,1.995086670E-3,-2.500945330E-2,9.286880493E-3,2.675255641E-2
2.099763560E-1,1.435548067E-3,-4.318556190E-2,-4.925727844E-3,4.348926706E-2
2.149681790E-1,1.941123605E-2,-3.281980753E-2,-1.411437988E-2,4.065896667E-2
2.199600020E-1,5.564871430E-2,9.921163321E-3,-9.071350098E-3,5.724943911E-2
2.249518240E-1,6.763193011E-2,4.908263683E-3,-2.752399445E-2,7.318291668E-2
2.299436470E-1,8.420667052E-2,-9.290099144E-3,-1.750850677E-2,8.650790202E-2
2.349354700E-1,6.784814596E-2,-2.307054400E-2,4.373645782E-2,8.395533726E-2
2.399272930E-1,5.682566762E-2,-3.187462687E-2,7.554244995E-2,9.975875943E-2
2.449191160E-1,3.685408831E-2,-2.644833922E-2,1.020040512E-1,1.116358586E-1
2.499109390E-1,1.738086343E-2,-2.120673656E-2,8.577251434E-2,9.004856637E-2
2.549027620E-1,3.108727932E-2,-3.014615178E-2,3.709888458E-2,5.702224689E-2
2.598945850E-1,3.973591328E-2,-6.185770035E-3,3.513336182E-3,4.036768616E-2
2.648864080E-1,5.281662941E-2,-1.560509205E-2,-2.939319611E-2,6.242655859E-2
2.698782310E-1,5.627304316E-2,-2.479463816E-2,-3.349971771E-2,7.002614193E-2
2.748700540E-1,4.084801674E-2,-2.442434430E-2,-2.344989777E-2,5.305663739E-2
2.798618770E-1,2.583178878E-2,-3.346616030E-2,9.888648987E-3,4.341716913E-2
2.848536990E-1,2.060654759E-2,-4.705408216E-2,1.441001892E-2,5.335133641E-2
2.898455220E-1,1.329660416E-3,-3.225633502E-2,3.296184540E-2,4.613807969E-2
2.948373450E-1,1.511058211E-2,-3.184026480E-2,4.179477692E-2,5.467115813E-2
2.998291680E-1,1.443699002E-2,-4.095134139E-2,4.578971863E-2,6.310417874E-2
3.048209910E-1,1.843544841E-2,-3.119933605E-2,4.973411560E-2,6.153654672E-2
3.098128140E-1,2.241984010E-2,-2.166950703E-2,4.421234131E-2,5.410127437E-2
3.148046370E-1,2.624291182E-2,-1.706674695E-2,3.409194946E-2,4.628417970E-2
3.197964600E-1,1.577949524E-2,1.105490327E-2,1.943874359E-2,2.736910866E-2
3.247882830E-1,1.486158371E-2,2.469336987E-2,1.916027069E-2,3.460845502E-2
3.297801060E-1,-1.267790794E-4,2.875235677E-2,9.462356567E-3,3.026962643E-2
3.347719290E-1,1.811406016E-2,9.290277958E-3,1.405620575E-2,2.473874209E-2
3.397637520E-1,2.188456059E-2,8.935302496E-3,1.858615875E-2,3.007023312E-2
3.447555740E-1,2.104026079E-2,-5.557745695E-3,1.361465454E-2,2.566982528E-2
3.497473970E-1,2.031484246E-2,3.802388906E-3,-2.902030945E-2,3.562764862E-2
3.547392200E-1,3.847655654E-2,3.641307354E-3,-5.216503143E-2,6.492222290E-2
3.597310430E-1,4.699698091E-2,-1.132518053E-3,-5.139446259E-2,6.965191739E-2
3.647228660E-1,4.607033730E-2,-1.068770885E-3,-3.177165985E-2,5.597371365E-2
3.697146890E-1,3.597888350E-2,-1.039257646E-2,-2.188491821E-2,4.337551555E-2
3.747065120E-1,2.147084475E-2,-2.431476116E-2,6.740570068E-3,3.313065151E-2
3.796983350E-1,4.499652982E-2,-1.910415292E-2,-2.810478210E-3,4.896483577E-2
3.846901580E-1,3.499364853E-2,-2.346852422E-2,1.945495605E-3,4.217952133E-2
3.896819810E-1,2.040761709E-2,-1.365891099E-2,2.081394196E-2,3.219094383E-2
3.946738040E-1,-8.059054613E-3,-8.702218533E-3,4.888534546E-2,5.030361785E-2
3.996656270E-1,1.600652933E-3,-3.811329603E-3,2.933979034E-2,2.962957341E-2
4.046574490E-1,1.098513603E-2,-1.311728358E-2,3.368949890E-2,3.778516479E-2
